date	ouv	haut	bas	clot	vol	devise	
21/10/2014 00:00	0.339	0.339	0.339	0.339	0		
22/10/2014 00:00	0.341	0.341	0.341	0.341	0		
23/10/2014 00:00	0.341	0.341	0.341	0.341	0		
24/10/2014 00:00	0.341	0.341	0.341	0.341	0		
27/10/2014 00:00	0.341	0.341	0.341	0.341	0		
28/10/2014 00:00	0.34	0.34	0.34	0.34	0		
29/10/2014 00:00	0.34	0.34	0.34	0.34	0		
30/10/2014 00:00	0.34	0.34	0.34	0.34	0		
31/10/2014 00:00	0.34	0.34	0.34	0.34	0		
03/11/2014 00:00	0.339	0.339	0.339	0.339	0		
04/11/2014 00:00	0.338	0.338	0.338	0.338	0		
05/11/2014 00:00	0.337	0.337	0.337	0.337	0		
06/11/2014 00:00	0.337	0.337	0.337	0.337	0		
07/11/2014 00:00	0.336	0.336	0.336	0.336	0		
10/11/2014 00:00	0.336	0.336	0.336	0.336	0		
11/11/2014 00:00	0.336	0.336	0.336	0.336	0		
12/11/2014 00:00	0.336	0.336	0.336	0.336	0		
13/11/2014 00:00	0.334	0.334	0.334	0.334	0		
14/11/2014 00:00	0.333	0.333	0.333	0.333	0		
17/11/2014 00:00	0.332	0.332	0.332	0.332	0		
18/11/2014 00:00	0.334	0.334	0.334	0.334	0		
19/11/2014 00:00	0.336	0.336	0.336	0.336	0		
20/11/2014 00:00	0.336	0.336	0.336	0.336	0		
21/11/2014 00:00	0.334	0.334	0.334	0.334	0		
24/11/2014 00:00	0.332	0.332	0.332	0.332	0		
25/11/2014 00:00	0.332	0.332	0.332	0.332	0		
26/11/2014 00:00	0.334	0.334	0.334	0.334	0		
27/11/2014 00:00	0.331	0.331	0.331	0.331	0		
28/11/2014 00:00	0.331	0.331	0.331	0.331	0		
01/12/2014 00:00	0.33	0.33	0.33	0.33	0		
02/12/2014 00:00	0.331	0.331	0.331	0.331	0		
03/12/2014 00:00	0.328	0.328	0.328	0.328	0		
04/12/2014 00:00	0.328	0.328	0.328	0.328	0		
05/12/2014 00:00	0.329	0.329	0.329	0.329	0		
08/12/2014 00:00	0.329	0.329	0.329	0.329	0		
09/12/2014 00:00	0.329	0.329	0.329	0.329	0		
10/12/2014 00:00	0.328	0.328	0.328	0.328	0		
11/12/2014 00:00	0.328	0.328	0.328	0.328	0		
12/12/2014 00:00	0.329	0.329	0.329	0.329	0		
